x,y,z,color,layer
0,0.3,0,R,0
0.6,0.3,0,R,0
1.2,0.3,0,R,0
1.8,0.3,0,R,0
0,0.3,0.6,R,0
0.6,0.3,0.6,R,0
1.2,0.3,0.6,R,0
1.8,0.3,0.6,R,0
0,0.3,1.2,R,0
0.6,0.3,1.2,R,0
1.2,0.3,1.2,R,0
1.8,0.3,1.2,R,0
0,0.3,1.8,R,0
0.6,0.3,1.8,R,0
1.2,0.3,1.8,R,0
1.8,0.3,1.8,R,0
0,0.9,0,R,0
0.6,0.9,0,R,0
1.2,0.9,0,R,0
1.8,0.9,0,R,0
0,0.9,0.6,R,0
0.6,0.9,0.6,R,0
1.2,0.9,0.6,R,0
1.8,0.9,0.6,R,0
0,0.9,1.2,R,0
0.6,0.9,1.2,R,0
1.2,0.9,1.2,R,0
1.8,0.9,1.2,R,0
0,0.9,1.8,R,0
0.6,0.9,1.8,R,0
1.2,0.9,1.8,R,0
1.8,0.9,1.8,R,0
0,1.5,0,R,0
0.6,1.5,0,R,0
1.2,1.5,0,R,0
1.8,1.5,0,R,0
0,1.5,0.6,R,0
0.6,1.5,0.6,R,0
1.2,1.5,0.6,R,0
1.8,1.5,0.6,R,0
0,1.5,1.2,R,0
0.6,1.5,1.2,R,0
1.2,1.5,1.2,R,0
1.8,1.5,1.2,R,0
0,1.5,1.8,R,0
0.6,1.5,1.8,R,0
1.2,1.5,1.8,R,0
1.8,1.5,1.8,R,0
0,2.1,0,R,0
0.6,2.1,0,R,0
1.2,2.1,0,R,0
1.8,2.1,0,R,0
0,2.1,0.6,R,0
0.6,2.1,0.6,R,0
1.2,2.1,0.6,R,0
1.8,2.1,0.6,R,0
0,2.1,1.2,R,0
0.6,2.1,1.2,R,0
1.2,2.1,1.2,R,0
1.8,2.1,1.2,R,0
0,2.1,1.8,R,0
0.6,2.1,1.8,R,0
1.2,2.1,1.8,R,0
1.8,2.1,1.8,R,0
